LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
ZAF,EMP,TOT,PC_WKGPOP,Q,2021-Q3,35.97744
ZAF,EMP,TOT,PC_WKGPOP,Q,2021-Q4,36.48694
ZAF,EMP,TOT,PC_WKGPOP,Q,2022-Q1,37.36876
ZAF,EMP,TOT,PC_WKGPOP,Q,2022-Q2,38.59484
ZAF,EMP,TOT,PC_WKGPOP,Q,2022-Q3,39.13488
CRI,EMP,TOT,PC_WKGPOP,Q,2019-Q1,61.69806
CRI,EMP,TOT,PC_WKGPOP,Q,2019-Q2,62.00516
CRI,EMP,TOT,PC_WKGPOP,Q,2019-Q3,61.26518
CRI,EMP,TOT,PC_WKGPOP,Q,2019-Q4,61.62133
CRI,EMP,TOT,PC_WKGPOP,Q,2020-Q1,61.96293
CRI,EMP,TOT,PC_WKGPOP,Q,2020-Q2,49.69787
CRI,EMP,TOT,PC_WKGPOP,Q,2020-Q3,52.40552
CRI,EMP,TOT,PC_WKGPOP,Q,2020-Q4,55.25658
CRI,EMP,TOT,PC_WKGPOP,Q,2021-Q1,56.04257
CRI,EMP,TOT,PC_WKGPOP,Q,2021-Q2,55.59557
CRI,EMP,TOT,PC_WKGPOP,Q,2021-Q3,58.32516
CRI,EMP,TOT,PC_WKGPOP,Q,2021-Q4,58.65159
CRI,EMP,TOT,PC_WKGPOP,Q,2022-Q1,58.62284
CRI,EMP,TOT,PC_WKGPOP,Q,2022-Q2,60.02401
CRI,EMP,TOT,PC_WKGPOP,Q,2022-Q3,60.90527
CRI,EMP,TOT,PC_WKGPOP,Q,2022-Q4,60.68662
OECD,EMP,TOT,PC_WKGPOP,Q,2019-Q2,68.79692
OECD,EMP,TOT,PC_WKGPOP,Q,2019-Q3,68.79108
OECD,EMP,TOT,PC_WKGPOP,Q,2019-Q4,68.89495
OECD,EMP,TOT,PC_WKGPOP,Q,2020-Q1,68.48039
OECD,EMP,TOT,PC_WKGPOP,Q,2020-Q2,63.49226
OECD,EMP,TOT,PC_WKGPOP,Q,2020-Q3,65.56411
OECD,EMP,TOT,PC_WKGPOP,Q,2020-Q4,66.5139
OECD,EMP,TOT,PC_WKGPOP,Q,2021-Q1,66.70892
OECD,EMP,TOT,PC_WKGPOP,Q,2021-Q2,67.39098
OECD,EMP,TOT,PC_WKGPOP,Q,2021-Q3,68.10993
OECD,EMP,TOT,PC_WKGPOP,Q,2021-Q4,68.57956
OECD,EMP,TOT,PC_WKGPOP,Q,2022-Q1,68.99148
OECD,EMP,TOT,PC_WKGPOP,Q,2022-Q2,69.45674
OECD,EMP,TOT,PC_WKGPOP,Q,2022-Q3,69.47469
OECD,EMP,TOT,PC_WKGPOP,Q,2022-Q4,69.58285
